date,open,close,low,high,volume
2000-08-14,9.0625,8.5,8.5,9.125,1381520000.0
2000-08-15,8.625,8.125,8.125,8.75,2073664000.0
2000-08-16,8.25,7.5,7.5,8.25,3439232000.0
2000-08-17,7.625,7.4375,7.3125,7.8125,2411472000.0
2000-08-18,7.5,7.3125,7.25,7.5625,1002800000.0
2000-08-21,7.375,7.1875,7.125,7.5,1039584000.0
2000-08-22,7.3125,7.375,7.3125,7.5,1263680000.0
2000-08-23,7.375,7.75,7.375,7.75,5320704000.0
2000-08-24,7.75,7.875,7.625,8.0,3141792000.0
2000-08-25,7.9375,8.0625,7.9375,8.125,2637968000.0
2000-08-28,8.0625,7.8125,7.75,8.0625,3185888000.0
2000-08-29,7.75,7.875,7.75,7.9375,1308256000.0
2000-08-30,7.9375,7.8125,7.625,7.9375,1582720000.0
2000-08-31,7.8125,7.8125,7.6875,7.9375,937984000.0
2000-09-01,7.875,7.875,7.75,7.9375,667904000.0
2000-09-04,7.875,8.125,7.8125,8.25,2127344000.0
2000-09-05,8.1875,8.3125,7.9375,8.5,3514560000.0
2000-09-06,8.5,8.3125,8.125,8.625,5470576000.0
2000-09-08,8.3125,8.375,8.25,8.375,485136000.0
2000-09-11,8.3125,8.0625,8.0,8.375,1275040000.0
2000-09-12,8.125,7.9375,7.875,8.1875,1544624000.0
2000-09-13,7.9375,8.125,7.875,8.1875,1170480000.0
2000-09-14,8.125,7.9375,7.875,8.1875,915568000.0
2000-09-15,7.9375,7.875,7.875,8.0625,445568000.0
2000-09-18,7.8125,7.6875,7.5625,7.875,830736000.0
2000-09-19,7.75,7.6875,7.5,7.8125,1016432000.0
2000-09-20,7.6875,7.6875,7.5,7.6875,879952000.0
2000-09-21,7.6875,7.5,7.375,7.75,1485360000.0
2000-09-22,7.4375,7.75,7.375,7.75,772944000.0
2000-09-25,7.8125,7.6875,7.625,7.9375,509856000.0
2000-09-26,7.75,7.625,7.5625,7.75,608256000.0
2000-09-27,7.75,7.5,7.375,7.75,1398352000.0
2000-09-28,7.5,7.625,7.4375,7.6875,514976000.0
2000-09-29,7.625,7.625,7.5625,7.8125,846320000.0
2000-10-02,7.625,7.5625,7.5,7.625,778672000.0
2000-10-03,7.625,7.5625,7.5,7.75,833312000.0
2000-10-04,7.5625,7.625,7.5,7.6875,634656000.0
2000-10-06,7.875,7.6875,7.6875,7.9375,601152000.0
2000-10-09,7.75,7.6875,7.625,7.75,499680000.0
2000-10-10,7.6875,7.625,7.625,7.8125,565280000.0
2000-10-11,7.5625,7.5625,7.5625,7.6875,440912000.0
2000-10-13,7.375,7.5625,7.3125,7.5625,800112000.0
2000-10-16,7.5625,7.375,7.375,7.6875,981056000.0
2000-10-17,7.5,7.375,7.3125,7.5625,560368000.0
2000-10-18,7.3125,7.1875,7.1875,7.375,1276368000.0
2000-10-19,7.375,7.3125,7.3125,7.5,1079408000.0
2000-10-20,7.375,7.25,7.25,7.4375,224928000.0
2000-10-23,7.25,7.0,7.0,7.3125,390688000.0
2000-10-25,6.75,6.625,6.5625,6.875,548128000.0
2000-10-26,6.75,6.875,6.625,6.9375,301328000.0
2000-10-27,7.0,7.125,6.9375,7.1875,320416000.0
2000-10-30,7.125,7.1875,7.0,7.25,590848000.0
2000-10-31,7.25,7.0,6.9375,7.3125,363248000.0
2000-11-01,7.0,6.875,6.75,7.0625,216560000.0
2000-11-03,6.9375,6.8125,6.6875,6.9375,374864000.0
2000-11-06,6.8125,6.8125,6.75,6.875,247600000.0
2000-11-07,6.8125,6.6875,6.6875,6.8125,374000000.0
2000-11-08,6.75,6.6875,6.6875,6.875,365984000.0
2000-11-09,6.6875,6.8125,6.625,6.8125,173184000.0
2000-11-10,6.8125,6.8125,6.75,6.9375,233280000.0
2000-11-13,6.75,6.6875,6.6875,6.8125,485696000.0
2000-11-16,6.5,6.375,6.3125,6.5625,427488000.0
2000-11-17,6.4375,6.375,6.1875,6.4375,527520000.0
2000-11-20,6.4375,6.75,6.375,6.75,280960000.0
2000-11-21,6.75,7.0625,6.6875,7.0625,415536000.0
2000-11-22,6.875,6.9375,6.8125,7.0,374880000.0
2000-11-23,6.875,6.75,6.625,6.9375,315216000.0
2000-11-24,6.75,6.6875,6.5,6.75,412496000.0
2000-11-27,6.75,6.4375,6.375,6.75,290592000.0
2000-11-28,6.4375,6.375,6.3125,6.5,316544000.0
2000-11-29,6.375,6.3125,6.25,6.5,325504000.0
2000-11-30,6.1875,6.125,6.0625,6.1875,415456000.0
2000-12-01,6.25,6.125,6.0625,6.25,479200000.0
2000-12-04,6.125,6.4375,6.125,6.4375,456752000.0
2000-12-05,6.5,6.75,6.4375,6.75,445456000.0
2000-12-06,6.6875,6.625,6.5,6.75,284560000.0
2000-12-07,6.625,6.875,6.5625,6.875,245376000.0
2000-12-08,6.875,6.875,6.875,7.0625,594416000.0
2000-12-11,7.0,7.0,6.875,7.1875,328320000.0
2000-12-13,7.0,7.3125,7.0,7.4375,1486464000.0
2000-12-14,7.3125,7.25,7.125,7.375,215872000.0
2000-12-15,7.1875,7.25,7.0,7.25,190992000.0
2000-12-18,7.3125,7.5625,7.3125,7.75,3112048000.0
2000-12-19,7.625,7.6875,7.5,8.0,2120912000.0
2000-12-20,7.8125,7.6875,7.5,7.8125,1113664000.0
2000-12-21,7.8125,7.6875,7.5625,7.8125,839808000.0
2000-12-22,7.8125,7.5,7.4375,7.8125,480384000.0
2000-12-26,7.5625,7.5625,7.25,7.625,514544000.0
2000-12-27,7.5625,7.75,7.5625,7.8125,1430288000.0
2000-12-28,7.8125,7.375,7.375,7.875,2054896000.0
2001-01-02,7.5,7.4375,7.1875,7.625,920416000.0
2001-01-03,7.5,7.6875,7.3125,7.8125,1803152000.0
2001-01-04,7.5625,7.625,7.5625,7.8125,1447056000.0
2001-01-05,7.6875,7.5625,7.5,7.6875,535712000.0
2001-01-08,7.6875,7.5,7.4375,7.6875,372240000.0
2001-01-09,7.4375,7.625,7.4375,7.75,929536000.0
